2015,6328,30000,60002,98848,158111,279998
2014,6040,28013,58073,94780,147333,256000
2013,5818,28082,57250,90750,147196,262128
2013,5759,26000,52536,83004,136552,240201
2012,5560,27564,54414,85000,137565,245691
2011,5374,25124,50157,80440,125200,223100
2010,5212,24357,50200,81000,131240,218000
2009,4687,25000,50194,82170,131000,234082
2008,4573,24137,50000,82680,130000,220197
2007,4494,25312,51400,82000,125800,211000
2006,4454,26300,50000,80202,126000,222429
2005,4273,24000,49761,75200,117032,217500
2004,4123,24000,47000,71254,110806,193714
2003,4040,18660,42980,70000,106740,174035
2002,3917,22007,41155,65690,102000,180083